faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Quran Memorization Coach
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Law Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Lecturer In Islamic Universities
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Shariah Lawyer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Islamic Court Judge
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Advisor In Islamic Finance
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Compliance Officer In Islamic Banking
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Researcher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Mediator In Islamic Disputes
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Lecturer In Shariah And Law
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Government Legal Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Policy Analyst
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Human Rights Advocate
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Auditor
