onet_code,reported_title
13-1011.00,Theatrical Agent
13-1021.00,Buyer
13-1021.00,Cattle Buyer
13-1021.00,Grain Buyer
13-1021.00,Grain Market Advisor
13-1021.00,Grain Marketing Advisor
13-1021.00,Grain Merchandiser
13-1021.00,Grain Origination Specialist
13-1021.00,Produce Broker
13-1021.00,Purchasing Agent
13-1021.00,Tobacco Buyer
13-1022.00,Bakery Buyer
13-1022.00,Buyer
13-1022.00,Deli Buyer
13-1022.00,Frozen Food Buyer
13-1022.00,Gourmet Food Buyer
13-1022.00,Grocery Buyer
13-1022.00,Purchaser
13-1022.00,Retail Buyer
13-1022.00,Wine Buyer
13-1023.00,Buyer
13-1023.00,Contract Administrator (Contract Admin)
13-1023.00,Procurement and Contracting Administrator (Procurement and Contracting Admin)
13-1023.00,Procurement and Contracting Buyer
13-1023.00,Procurement Official
13-1023.00,Procurement Specialist
13-1023.00,Purchasing Administrator (Purchasing Admin)
13-1023.00,Purchasing Agent
13-1023.00,Purchasing and Contracts Coordinator
13-1031.00,Claims Adjuster
13-1031.00,Claims Analyst
13-1031.00,Claims Examiner
13-1031.00,Claims Representative
13-1031.00,Claims Specialist
13-1031.00,Corporate Claims Examiner
13-1031.00,Field Claims Adjuster
13-1031.00,General Adjuster
13-1031.00,Home Office Claims Specialist
13-1031.00,Litigation Claims Representative
13-1032.00,Appraiser
13-1032.00,Automobile Appraiser (Auto Appraiser)
13-1032.00,Automobile Damage Appraiser (Auto Damage Appraiser)
13-1032.00,Damage Appraiser
13-1032.00,Field Appraiser
13-1032.00,Field Inspector
13-1032.00,Insurance Appraiser
13-1032.00,Material Damage Appraiser
13-1032.00,Outside Physical Damage Appraiser
13-1032.00,Physical Damage Appraiser
13-1041.00,Driver Examiner
13-1041.00,Driver License Agent
13-1041.00,Driver License Examiner
13-1041.00,Examiner
13-1041.00,License Examiner
13-1041.00,License Registration Examiner
13-1041.00,Licensing Analyst
13-1041.00,Motor Vehicle Clerk
13-1041.00,Public Service Representative (PSR)
13-1041.00,Transportation Services Representative (TSR)
13-1041.01,Air Permitting and Enforcement Inspector
13-1041.01,Compliance Investigator
13-1041.01,Enforcement Officer
13-1041.01,Environmental Compliance Inspector
13-1041.01,Environmental Inspector
13-1041.01,Environmental Protection Specialist
13-1041.01,Environmental Quality Analyst
13-1041.01,Resource Conservation and Recovery Act Enforcement Officer (RCRA Enforcement Officer)
13-1041.01,Toxics Program Officer
13-1041.01,Waste Management Specialist
13-1041.03,Affirmative Action Officer (AA Officer)
13-1041.03,Civil Rights Investigator
13-1041.03,Civil Rights Representative
13-1041.03,Complaint Investigations Officer
13-1041.03,Equal Employment Opportunity Officer (EEO Officer)
13-1041.03,Equal Employment Opportunity Representative (EEO Representative)
13-1041.03,Equal Opportunity Specialist
13-1041.04,Airport Operations Officer
13-1041.04,Housing Inspector
13-1041.04,Housing Management Representative
13-1041.04,Housing Quality Standard Inspector (HQS Inspector)
13-1041.04,Neighborhood Conservation Officer
13-1041.04,Quality Assurance Specialist
13-1041.04,Rehabilitation Construction Specialist
13-1041.06,Autopsy Facilities Manager
13-1041.06,Coroner
13-1041.06,County Coroner
13-1041.06,Death Investigator
13-1041.06,Forensic Pathologist
13-1041.06,MDI (Medicolegal Death Investigator)
13-1041.06,Medical Examiner
13-1041.06,Medical Legal Death Investigator
13-1041.06,Medicolegal Investigator
13-1041.06,MLI (Medical Legal Investigator)
13-1041.07,Drug Regulatory Affairs Specialist
13-1041.07,QA Specialist (Quality Assurance Specialist)
13-1041.07,RA Analyst (Regulatory Affairs Analyst)
13-1041.07,RA Associate (Regulatory Affairs Associate)
13-1041.07,RA Consultant (Regulatory Affairs Consultant)
13-1041.07,RA Strategist (Regulatory Affairs Strategist)
13-1041.07,Regulatory Consultant
13-1041.07,Regulatory Services Consultant
13-1041.07,Regulatory Specialist
13-1041.07,Regulatory Submissions Associate
13-1041.08,Broker
13-1041.08,CCS (Certified Customs Specialist)
13-1041.08,Corporate Licensed Broker
13-1041.08,LCB (Licensed Custom Broker)
13-1041.08,LCB (Licensed Customs Broker)
13-1051.00,Acquisition Cost Estimator
13-1051.00,Analyst
13-1051.00,Construction Estimator
13-1051.00,Cost Analyst
13-1051.00,Cost Consultant
13-1051.00,Cost Engineer
13-1051.00,Cost Estimating Analyst
13-1051.00,Cost Estimator
13-1051.00,Estimating Specialist
13-1051.00,Estimator
13-1071.00,Corporate Recruiter
13-1071.00,Employment Representative
13-1071.00,HR Analyst (Human Resources Analyst)
13-1071.00,HR Coordinator (Human Resources Coordinator)
13-1071.00,HR Generalist (Human Resources Generalist)
13-1071.00,Human Resources Representative (HR Rep)
13-1071.00,Human Resources Specialist (HR Specialist)
13-1071.00,Personnel Analyst
13-1071.00,Personnel Officer
13-1071.00,Recruiter
13-1075.00,Business Agent
13-1075.00,Business Representative
13-1075.00,Grievance Manager
13-1075.00,Labor Relations Specialist
13-1075.00,Labor Specialist
13-1081.00,Client Services Administrator
13-1081.00,Logistician
13-1081.00,Production Planner
13-1081.00,Supply Management Specialist
13-1081.01,Acquisition Logistics Engineer
13-1081.01,Logistics Engineer
13-1081.01,Logistics Specialist
13-1081.01,Reliability Engineer
13-1081.01,Supportability Engineer
13-1081.01,Systems Engineer
13-1081.02,Global Logistics Analyst
13-1081.02,Logistics Analyst
13-1081.02,Logistics Management Analyst
13-1081.02,Material Supply Planner
13-1081.02,Supply Chain Analyst
13-1081.02,Transportation Analyst
13-1082.00,Fiber Project Manager
13-1082.00,Implementation Project Manager
13-1082.00,Project Management Consultant
13-1111.00,Administrative Analyst
13-1111.00,Business Analyst
13-1111.00,Business Consultant
13-1111.00,Employment Programs Analyst
13-1111.00,Management Analyst
13-1111.00,Management Consultant
13-1111.00,Organizational Development Consultant
13-1111.00,Performance Management Analyst
13-1111.00,Program Management Analyst
13-1121.00,Catering Director
13-1121.00,Conference Planner
13-1121.00,Conference Planning Manager
13-1121.00,Conference Services Director
13-1121.00,Conference Services Manager
13-1121.00,Convention Services Director
13-1121.00,Convention Services Manager (CSM)
13-1121.00,Event Coordinator
13-1121.00,Events Manager
13-1121.00,Special Events Coordinator
13-1131.00,Contract Grant Writer
13-1131.00,Development Associate
13-1131.00,Development Officer
13-1131.00,Direct Response Consultant
13-1131.00,Fundraising Consultant
13-1131.00,Grant Coordinator
13-1131.00,Philanthropy Officer
13-1131.00,Principal Gifts Officer
13-1141.00,Benefits Analyst
13-1141.00,Benefits Consultant
13-1141.00,Benefits Specialist
13-1141.00,Compensation Analyst
13-1141.00,Compensation and Benefits Analyst
13-1141.00,Compensation and Benefits Specialist
13-1141.00,Compensation Consultant
13-1141.00,Compensation Specialist
13-1141.00,Employee Benefits Specialist
13-1141.00,Position Classification Specialist
13-1151.00,Computer Training Specialist
13-1151.00,Corporate Trainer
13-1151.00,Job Training Specialist
13-1151.00,Leadership Development Specialist
13-1151.00,Learning and Development Consultant
13-1151.00,Learning and Development Specialist (L and D Specialist)
13-1151.00,Management Development Specialist
13-1151.00,Trainer
13-1151.00,Training and Development Consultant
13-1151.00,Training Specialist
13-1161.00,Business Development Specialist
13-1161.00,Communications Consultant
13-1161.00,Communications Specialist
13-1161.00,Content Strategist
13-1161.00,Market Analyst
13-1161.00,Market Research Analyst
13-1161.00,Market Research Consultant
13-1161.00,Market Research Specialist
13-1161.00,Market Researcher
13-1161.00,Marketing Research Coordinator
13-1161.01,Digital Marketing Strategist
13-1161.01,Digital Media Planner
13-1161.01,Internet Marketing Specialist
13-1161.01,Marketing Consultant
13-1161.01,Online Marketing Consultant
13-1161.01,Paid Search Consultant
13-1161.01,Paid Search Strategist
13-1161.01,Search Engine Optimization Consultant (SEO Consultant)
13-1161.01,SEO Strategist (Search Engine Optimization Strategist)
13-1161.01,Social Media Specialist
13-1199.04,Business Continuity Administrator (Business Continuity Admin)
13-1199.04,Business Continuity Analyst
13-1199.04,Business Continuity and Disaster Recovery Consultant
13-1199.04,Business Continuity Consultant
13-1199.04,Business Continuity Coordinator
13-1199.04,Business Continuity Professional
13-1199.04,Business Continuity Specialist
13-1199.04,Business System Consultant
13-1199.04,Disaster Recovery Specialist
13-1199.04,Service Continuity Manager
13-1199.05,Campus Energy Coordinator
13-1199.05,Energy and Sustainability Strategic Advisor
13-1199.05,Sustainability Advisor
13-1199.05,Sustainability Champion
13-1199.05,Sustainability Consultant
13-1199.05,Sustainability Coordinator
13-1199.05,Sustainability Specialist
13-1199.05,Sustainable Design Champion
13-1199.05,Sustainable Design Consultant
13-1199.05,Sustainable Design Coordinator
13-1199.06,Online Services Manager
13-1199.07,Physical Security Engineer
13-1199.07,Physical Security Specialist
13-1199.07,Security Advisor
13-1199.07,Security Analyst
13-1199.07,Security and Workplace Violence Consultant
13-1199.07,Security Consultant
13-1199.07,Security Management Consultant
13-1199.07,Security Specialist
13-2011.00,Accountant
13-2011.00,Accounting Officer
13-2011.00,Audit Partner
13-2011.00,Auditor
13-2011.00,Cost Accountant
13-2011.00,CPA (Certified Public Accountant)
13-2011.00,Financial Auditor
13-2011.00,Financial Reporting Accountant
13-2011.00,General Accountant
13-2011.00,Internal Auditor
13-2022.00,Accredited Appraiser
13-2022.00,Aircraft Appraiser
13-2022.00,Appraiser
13-2022.00,Art Appraiser
13-2022.00,Certified Appraiser
13-2022.00,Gem and Jewelry Appraiser
13-2022.00,Jewelry Appraiser
13-2022.00,Personal Property Appraiser
13-2023.00,Appraiser
13-2023.00,Assessor
13-2023.00,Certified Real Estate Appraiser
13-2023.00,Certified Residential Appraiser
13-2023.00,Commercial Appraiser
13-2023.00,County Assessor
13-2023.00,Field Appraiser
13-2023.00,Real Estate Appraiser
13-2023.00,Real Property Appraiser
13-2023.00,Tax Assessor
13-2031.00,Budget Analyst
13-2031.00,Budget and Policy Analyst
13-2031.00,Budget Coordinator
13-2031.00,Budget Officer
13-2031.00,Budget Planning Analyst
13-2031.00,Cost Analyst
13-2031.00,Financial Services Officer
13-2031.00,Fiscal Analyst
13-2031.00,Fiscal Budget Analyst
13-2041.00,Credit Administrator
13-2041.00,Credit Analyst
13-2041.00,Credit and Collections Analyst
13-2041.00,Credit Officer
13-2041.00,Credit Representative
13-2041.00,Credit Risk Analyst
13-2041.00,Municipal Fixed Income Analyst
13-2051.00,Analyst
13-2051.00,Credit Products Officer
13-2051.00,Equity Research Analyst
